customer_id,signup_date,age,gender,state,income_band,employment_status,credit_score,tenure_months,acquisition_channel,has_checking,has_savings,has_credit_card,has_loan,churned,churn_date,support_ticket_count,complaint_ticket_count,avg_satisfaction_score,has_defaulted_loan
CUST100000,6/29/2021,30,Male,FL,50k-75k,Full-time,633,60,App Store,TRUE,FALSE,TRUE,FALSE,FALSE,,0,0,,FALSE
CUST100001,4/2/2025,38,Male,NC,75k-100k,Self-employed,715,15,Organic Search,TRUE,TRUE,FALSE,TRUE,FALSE,,0,0,,FALSE
CUST100002,8/6/2024,48,Male,MO,50k-75k,Full-time,650,23,Partner Bank,TRUE,TRUE,TRUE,FALSE,FALSE,,0,0,,FALSE
CUST100003,5/31/2023,37,Female,MN,100k-150k,Full-time,725,37,Referral,TRUE,TRUE,FALSE,TRUE,FALSE,,2,0,5,FALSE
CUST100004,5/19/2023,34,Male,AZ,75k-100k,Full-time,676,37,Referral,TRUE,TRUE,FALSE,TRUE,FALSE,,1,1,5,FALSE
CUST100005,9/19/2025,34,Female,AL,50k-75k,Full-time,572,9,App Store,TRUE,TRUE,TRUE,FALSE,FALSE,,1,0,4,FALSE
CUST100006,6/22/2021,49,Male,WI,<25k,Full-time,559,61,Organic Search,TRUE,FALSE,TRUE,TRUE,FALSE,,4,1,3,FALSE
CUST100007,10/30/2024,52,Male,IL,25k-50k,Part-time,571,20,Paid Social,TRUE,FALSE,TRUE,TRUE,FALSE,,1,0,5,FALSE
CUST100008,2/9/2022,29,Female,MD,50k-75k,Self-employed,677,53,Organic Search,TRUE,TRUE,FALSE,TRUE,FALSE,,0,0,,FALSE
CUST100009,7/8/2021,29,Female,PA,25k-50k,Unemployed,654,60,Paid Social,TRUE,FALSE,FALSE,FALSE,FALSE,,1,0,5,FALSE
CUST100010,11/23/2023,42,Male,LA,100k-150k,Full-time,687,31,Affiliate,TRUE,TRUE,FALSE,FALSE,FALSE,,0,0,,FALSE
CUST100011,5/12/2026,56,Male,MN,50k-75k,Full-time,643,1,Referral,TRUE,TRUE,FALSE,FALSE,FALSE,,2,0,3,FALSE
CUST100012,1/15/2025,51,Female,TX,25k-50k,Self-employed,521,17,Organic Search,TRUE,FALSE,TRUE,FALSE,FALSE,,1,0,4,FALSE
CUST100013,3/7/2025,22,Female,IL,75k-100k,Student,642,16,Paid Social,TRUE,FALSE,TRUE,TRUE,TRUE,12/19/2025,2,0,4,FALSE
CUST100014,12/10/2024,34,Male,VA,75k-100k,Full-time,526,18,Referral,TRUE,TRUE,FALSE,FALSE,FALSE,,1,0,4,FALSE
CUST100015,4/26/2025,26,Female,MD,25k-50k,Full-time,652,14,Partner Bank,TRUE,FALSE,TRUE,TRUE,FALSE,,0,0,,FALSE
CUST100016,10/27/2023,34,Male,AZ,50k-75k,Full-time,758,32,Referral,TRUE,TRUE,TRUE,TRUE,FALSE,,1,0,4,FALSE
CUST100017,9/14/2021,57,Male,NY,75k-100k,Full-time,634,58,Paid Social,TRUE,TRUE,TRUE,TRUE,FALSE,,0,0,,FALSE
CUST100018,8/12/2025,20,Female,TN,50k-75k,Self-employed,648,10,Organic Search,TRUE,TRUE,FALSE,FALSE,FALSE,,3,1,3.33,FALSE
CUST100019,6/23/2023,18,Male,IN,25k-50k,Full-time,630,36,Paid Social,TRUE,TRUE,FALSE,FALSE,FALSE,,1,0,3,FALSE
CUST100020,10/1/2023,28,Male,AL,75k-100k,Part-time,601,33,Affiliate,TRUE,TRUE,TRUE,FALSE,FALSE,,3,1,3.33,FALSE
CUST100021,1/14/2023,41,Male,OH,75k-100k,Full-time,656,42,Partner Bank,TRUE,FALSE,TRUE,FALSE,FALSE,,4,1,3,FALSE
CUST100022,1/2/2022,45,Male,CA,<25k,Full-time,605,54,Referral,TRUE,TRUE,FALSE,FALSE,FALSE,,4,1,2.75,FALSE
CUST100023,2/3/2026,43,Female,MD,25k-50k,Full-time,617,4,Referral,TRUE,TRUE,FALSE,TRUE,FALSE,,5,2,4.2,FALSE
CUST100024,4/17/2025,52,Female,MO,75k-100k,Full-time,667,14,Organic Search,TRUE,FALSE,TRUE,FALSE,FALSE,,3,0,4.33,FALSE
CUST100025,7/15/2024,18,Male,WA,25k-50k,Full-time,591,23,Paid Social,TRUE,TRUE,FALSE,FALSE,FALSE,,4,2,5,FALSE
CUST100026,3/19/2023,52,Female,MO,150k+,Full-time,675,39,Referral,TRUE,FALSE,TRUE,FALSE,FALSE,,2,0,3.5,FALSE
CUST100027,7/9/2025,34,Female,IL,25k-50k,Full-time,645,11,Affiliate,TRUE,TRUE,FALSE,FALSE,FALSE,,3,1,4.33,FALSE
