loan_id,customer_id,loan_type,principal_amount,interest_rate_pct,term_months,origination_date,monthly_payment,credit_score_at_origination,dti_ratio,status,days_past_due
LN700000,CUST105412,Debt Consolidation,31494.81,14.5,36,2025-11-20,1084.08,600,0.51,Current,0
LN700001,CUST108437,Auto,34549.65,9.45,48,2024-06-27,867.17,667,0.32,Current,0
LN700002,CUST106942,BNPL,1142.07,5.82,24,2024-05-03,50.52,844,0.22,Current,0
LN700003,CUST110050,BNPL,383.36,7.11,12,2024-05-29,33.19,731,0.39,Current,0
LN700004,CUST110444,Personal,3308.72,13.43,48,2022-05-18,89.47,676,0.54,Paid Off,0
LN700005,CUST107764,BNPL,1317.02,13.65,12,2023-06-02,118.03,576,0.62,Default,102
LN700006,CUST106600,Debt Consolidation,28022.3,11.18,48,2022-12-26,726.7,610,0.48,Current,0
LN700007,CUST105275,Personal,18620.21,17.95,60,2023-08-05,472.32,456,0.69,Current,0
LN700008,CUST101780,BNPL,868.44,11.27,24,2025-12-22,40.59,703,0.59,Late,16
LN700009,CUST104332,Personal,12531.99,14.02,12,2024-08-11,1125.33,557,0.58,Current,0
LN700010,CUST103438,Auto,32617.55,9.38,36,2025-07-28,1043.01,728,0.44,Current,0
LN700011,CUST103127,Debt Consolidation,27765.31,9.97,36,2024-06-14,895.52,670,0.29,Current,0
LN700012,CUST106079,Personal,14752.08,16.07,24,2023-01-30,722.8,534,0.43,Current,0
LN700013,CUST107817,Personal,14519.18,8.2,12,2024-09-23,1264.34,712,0.49,Current,0
LN700014,CUST102582,Personal,30627.65,12.36,60,2022-06-08,686.88,738,0.26,Current,0
LN700015,CUST103408,Debt Consolidation,33297.18,14.34,12,2023-06-27,2994.99,664,0.51,Paid Off,0
LN700016,CUST110924,BNPL,1447.13,10.31,12,2024-09-15,127.43,676,0.41,Paid Off,0
LN700017,CUST104563,Personal,7646.16,11.22,60,2025-12-02,167.09,677,0.41,Current,0
