ticket_id,customer_id,ticket_date,category,channel,priority,resolution_hours,resolved,satisfaction_score
TCK500000,CUST109268,2022-02-26,Complaint,In-App Chat,Low,14.7,TRUE,4
TCK500001,CUST103036,2021-06-03,Complaint,In-App Chat,Urgent,9.6,TRUE,4
TCK500002,CUST101069,2026-05-27,Fraud/Dispute,Email,Low,19.5,TRUE,4
TCK500003,CUST102572,2022-12-01,Login/Access,In-App Chat,Low,16.9,TRUE,3
TCK500004,CUST105835,2026-01-08,General,Phone,Low,4.3,TRUE,5
TCK500005,CUST107899,2024-06-07,Loan Inquiry,Email,Medium,20.7,TRUE,5
TCK500006,CUST110462,2022-03-18,Card Issue,Twitter/X,Low,21.2,TRUE,4
TCK500007,CUST101964,2021-08-26,Card Issue,Twitter/X,Urgent,11.4,TRUE,3
TCK500008,CUST105338,2023-10-07,Billing,Phone,Low,5.5,TRUE,4
TCK500009,CUST109553,2021-07-26,Billing,In-App Chat,Urgent,2.7,TRUE,5
TCK500010,CUST108610,2022-03-28,General,Email,High,22.8,TRUE,2
TCK500011,CUST107243,2025-11-12,Card Issue,Phone,Low,19,TRUE,4
TCK500012,CUST101569,2024-08-22,Billing,In-App Chat,Low,18.1,TRUE,3
TCK500013,CUST106160,2025-12-25,Complaint,Email,Medium,7.7,TRUE,5
TCK500014,CUST102862,2022-09-28,Card Issue,Email,High,34,TRUE,3
TCK500015,CUST104736,2025-06-12,Fraud/Dispute,In-App Chat,Low,15.7,FALSE,1
TCK500016,CUST101710,2024-09-29,Card Issue,Phone,High,22.3,FALSE,2
TCK500017,CUST105896,2022-12-24,General,Email,Low,5.5,TRUE,4
TCK500018,CUST105554,2021-12-31,Card Issue,In-App Chat,Low,25.5,TRUE,3
TCK500019,CUST101846,2023-11-04,Billing,Phone,High,19.3,FALSE,1
TCK500020,CUST100218,2024-04-30,Complaint,In-App Chat,Low,4.8,TRUE,4
TCK500021,CUST104696,2022-10-25,Card Issue,In-App Chat,Medium,5.1,TRUE,3
TCK500022,CUST102972,2024-06-30,Loan Inquiry,Email,Medium,13.3,TRUE,1
TCK500023,CUST103660,2021-09-19,Login/Access,In-App Chat,Low,11,TRUE,5
TCK500024,CUST108544,2024-01-31,General,In-App Chat,High,2.8,TRUE,3
TCK500025,CUST101987,2023-09-11,Login/Access,Email,Medium,19,TRUE,3
TCK500026,CUST101893,2021-11-02,Billing,Twitter/X,Low,9.8,TRUE,4
TCK500027,CUST105344,2025-05-27,Loan Inquiry,Phone,Medium,5.7,TRUE,2
TCK500028,CUST108233,2025-11-13,Login/Access,In-App Chat,High,13.8,TRUE,5
TCK500029,CUST106318,2023-04-16,Billing,Twitter/X,Medium,10.3,TRUE,3
TCK500030,CUST109951,2023-08-14,Login/Access,Twitter/X,Low,23.7,TRUE,3
TCK500031,CUST108236,2023-08-13,Billing,Email,Low,19.8,TRUE,4
TCK500032,CUST104742,2025-08-25,Loan Inquiry,In-App Chat,High,8.2,TRUE,4
TCK500033,CUST103878,2023-05-20,Fraud/Dispute,In-App Chat,Low,5.2,TRUE,1
TCK500034,CUST109729,2026-02-05,Card Issue,Email,High,19,TRUE,5
TCK500035,CUST110857,2023-11-30,Fraud/Dispute,In-App Chat,Low,23.2,TRUE,5
TCK500036,CUST106965,2025-05-18,Complaint,Phone,High,16.7,TRUE,5
TCK500037,CUST107736,2024-04-24,General,In-App Chat,Medium,10.7,TRUE,4
TCK500038,CUST104809,2021-03-13,Billing,In-App Chat,Medium,12,TRUE,5
TCK500039,CUST106537,2022-05-17,Complaint,In-App Chat,Low,3.6,TRUE,2
TCK500040,CUST107220,2022-03-22,Complaint,Phone,Low,3,TRUE,4
TCK500041,CUST110939,2024-03-05,Loan Inquiry,Email,Medium,1,TRUE,4
TCK500042,CUST104001,2022-02-09,Loan Inquiry,Twitter/X,Medium,15.2,TRUE,3
TCK500043,CUST106474,2021-12-16,Billing,Email,Low,28,FALSE,3
TCK500044,CUST100210,2021-02-11,Complaint,Email,Low,17.4,TRUE,5
TCK500045,CUST109932,2021-11-07,Fraud/Dispute,In-App Chat,High,18,TRUE,4
TCK500046,CUST110785,2021-09-28,Fraud/Dispute,Twitter/X,Low,17.2,TRUE,4
TCK500047,CUST106482,2022-10-05,Billing,In-App Chat,Medium,10.4,FALSE,1
TCK500048,CUST104404,2026-03-08,Fraud/Dispute,In-App Chat,Low,6.5,TRUE,5
TCK500049,CUST108933,2025-03-27,Card Issue,Phone,Low,14.2,TRUE,3
TCK500050,CUST100692,2024-07-22,General,In-App Chat,Medium,4.4,TRUE,5
TCK500051,CUST106614,2021-09-05,Complaint,In-App Chat,Low,17.8,TRUE,3
TCK500052,CUST103923,2023-12-27,General,In-App Chat,Low,4.9,TRUE,4
TCK500053,CUST102129,2022-04-11,Login/Access,Email,High,9.3,TRUE,5
TCK500054,CUST101481,2021-07-15,Billing,Phone,Medium,10.6,TRUE,4
TCK500055,CUST108243,2025-10-11,Fraud/Dispute,In-App Chat,Medium,13.7,FALSE,3
TCK500056,CUST105880,2026-01-17,Card Issue,Email,Low,4.3,TRUE,5
TCK500057,CUST110141,2021-10-16,Loan Inquiry,Email,Low,2.8,TRUE,5
TCK500058,CUST106169,2024-10-12,Loan Inquiry,In-App Chat,Low,2.5,FALSE,3
TCK500059,CUST101301,2026-05-06,Complaint,In-App Chat,Low,4.5,TRUE,3
TCK500060,CUST103993,2023-08-12,Complaint,Phone,Low,12.2,TRUE,5
TCK500061,CUST103738,2026-03-06,Card Issue,Email,Low,11.3,TRUE,3
TCK500062,CUST105053,2026-02-08,Card Issue,Email,High,9.9,TRUE,2
TCK500063,CUST104684,2026-06-26,Card Issue,Phone,Medium,20.4,TRUE,5
TCK500064,CUST101003,2023-08-10,Card Issue,Email,Medium,19.7,TRUE,2
TCK500065,CUST105328,2024-06-17,Login/Access,In-App Chat,Medium,17.5,TRUE,5
TCK500066,CUST107289,2024-01-15,Card Issue,In-App Chat,Low,4.9,TRUE,4
TCK500067,CUST100196,2021-09-14,General,Twitter/X,Low,34.8,FALSE,1
TCK500068,CUST100299,2024-03-20,Billing,Phone,Medium,9.6,TRUE,5
TCK500069,CUST106795,2024-09-14,Billing,In-App Chat,High,16.9,TRUE,4
TCK500070,CUST106331,2021-08-05,Fraud/Dispute,Email,High,1.5,TRUE,3
TCK500071,CUST107313,2021-11-09,Login/Access,Phone,Urgent,10.3,TRUE,5
TCK500072,CUST107588,2022-01-07,Complaint,In-App Chat,Low,9.8,TRUE,3
TCK500073,CUST109275,2023-08-12,General,In-App Chat,Low,12.3,TRUE,5
TCK500074,CUST104819,2023-03-17,Login/Access,In-App Chat,Urgent,5.4,TRUE,5
TCK500075,CUST108187,2021-07-21,Card Issue,Phone,High,7.3,TRUE,4
TCK500076,CUST101805,2024-07-20,General,Email,Medium,12.4,TRUE,3
TCK500077,CUST100027,2022-07-06,Billing,In-App Chat,Medium,5.7,TRUE,5
TCK500078,CUST101919,2021-06-12,Loan Inquiry,In-App Chat,Low,24.4,TRUE,4
TCK500079,CUST107987,2026-06-06,Loan Inquiry,Twitter/X,Urgent,17.3,TRUE,4
TCK500080,CUST109875,2024-07-16,Billing,In-App Chat,High,5.6,TRUE,5
TCK500081,CUST101101,2024-06-05,General,Email,Low,4.4,TRUE,3
TCK500082,CUST104905,2022-07-17,Card Issue,Email,Low,20.7,TRUE,4
TCK500083,CUST106299,2022-11-27,Loan Inquiry,Email,Medium,3.6,TRUE,4
TCK500084,CUST109785,2026-06-15,General,Email,Medium,5.9,FALSE,3
TCK500085,CUST102384,2025-08-28,Complaint,Twitter/X,Low,1.5,TRUE,5
TCK500086,CUST107216,2021-07-26,Complaint,In-App Chat,Low,17.1,TRUE,5
TCK500087,CUST109189,2025-01-07,Complaint,In-App Chat,Medium,7.3,TRUE,5
TCK500088,CUST100719,2024-08-07,Complaint,Phone,High,1.2,TRUE,5
TCK500089,CUST102379,2021-10-20,Complaint,Email,Medium,19.1,TRUE,4
TCK500090,CUST101477,2022-01-22,Loan Inquiry,Phone,Low,23,TRUE,3
TCK500091,CUST107812,2023-09-12,Billing,Email,Low,10.2,TRUE,3
TCK500092,CUST103195,2024-12-03,Loan Inquiry,Phone,Medium,23.1,TRUE,2
TCK500093,CUST100748,2023-06-28,Card Issue,Twitter/X,Low,8.8,TRUE,3
TCK500094,CUST101012,2023-12-25,Complaint,In-App Chat,High,20.2,TRUE,4
TCK500095,CUST107539,2024-04-17,Login/Access,Email,Low,11.5,TRUE,4
TCK500096,CUST106394,2021-05-11,General,In-App Chat,Low,2.2,TRUE,5
TCK500097,CUST103666,2022-05-16,General,Twitter/X,Medium,14.6,TRUE,4
TCK500098,CUST110055,2025-11-20,Loan Inquiry,Email,Low,2.5,TRUE,2
TCK500099,CUST100281,2023-04-08,Billing,In-App Chat,Low,5.5,TRUE,5
TCK500100,CUST102557,2025-07-23,General,Phone,High,19,TRUE,5
TCK500101,CUST106044,2025-11-23,Loan Inquiry,Phone,Medium,10,TRUE,1
TCK500102,CUST110452,2026-04-11,Complaint,Email,Low,13.7,TRUE,4
TCK500103,CUST109728,2023-10-18,Complaint,Email,High,10.8,TRUE,5
TCK500104,CUST108014,2021-08-05,Complaint,In-App Chat,Low,22.7,TRUE,5
TCK500105,CUST105284,2023-12-28,Fraud/Dispute,In-App Chat,Medium,26.4,TRUE,4
TCK500106,CUST104797,2021-03-21,Complaint,In-App Chat,Medium,29.3,TRUE,5
TCK500107,CUST107809,2022-02-17,Card Issue,In-App Chat,High,10.1,TRUE,4
TCK500108,CUST107460,2024-09-25,Complaint,Email,Low,11,TRUE,1
TCK500109,CUST104350,2021-03-16,Loan Inquiry,Phone,Medium,5.5,TRUE,4
TCK500110,CUST109664,2021-07-19,General,Phone,Medium,3.5,TRUE,5
TCK500111,CUST108921,2026-06-23,General,Email,Low,9.7,TRUE,4
TCK500112,CUST110839,2024-01-18,Billing,In-App Chat,Low,10.1,TRUE,2
TCK500113,CUST104351,2023-11-15,Fraud/Dispute,Email,High,5.6,TRUE,3
TCK500114,CUST102318,2023-02-10,Login/Access,In-App Chat,Low,11.2,TRUE,3
TCK500115,CUST102217,2021-05-09,Fraud/Dispute,Twitter/X,High,24.9,TRUE,3
TCK500116,CUST107072,2023-02-04,Card Issue,Email,High,2.4,TRUE,4
TCK500117,CUST102196,2022-07-10,Fraud/Dispute,Email,Low,7.1,TRUE,4
TCK500118,CUST108133,2025-03-30,Login/Access,Twitter/X,Medium,9.7,TRUE,4
TCK500119,CUST110425,2023-09-07,Login/Access,Twitter/X,High,12.8,TRUE,2
TCK500120,CUST100293,2026-01-17,General,Email,High,4.7,TRUE,3
TCK500121,CUST109641,2024-12-15,Card Issue,In-App Chat,Medium,5.6,TRUE,3
TCK500122,CUST102516,2026-04-17,Card Issue,In-App Chat,Medium,20.6,TRUE,5
TCK500123,CUST106072,2021-10-23,General,Phone,Low,5.9,TRUE,4
TCK500124,CUST102935,2023-09-12,Card Issue,Phone,Medium,6.5,TRUE,3
TCK500125,CUST103360,2022-08-14,Billing,Phone,Urgent,11.7,TRUE,4
TCK500126,CUST109064,2022-04-14,General,Phone,High,4.2,TRUE,5
TCK500127,CUST103210,2025-12-04,General,In-App Chat,Low,7.1,FALSE,1
TCK500128,CUST109193,2024-06-07,General,Email,Medium,26.8,TRUE,4
TCK500129,CUST103510,2023-03-03,Login/Access,In-App Chat,Medium,21.8,TRUE,4
TCK500130,CUST102540,2021-11-05,Billing,Email,High,7.6,TRUE,4
TCK500131,CUST108347,2025-09-12,Loan Inquiry,Email,Low,8.4,FALSE,3
TCK500132,CUST103286,2026-03-14,Complaint,In-App Chat,Medium,1.9,TRUE,5
TCK500133,CUST100267,2022-02-25,General,Phone,Medium,8.9,TRUE,4
TCK500134,CUST102615,2022-01-29,Billing,Phone,Low,12.2,TRUE,5
TCK500135,CUST108937,2021-04-17,Loan Inquiry,In-App Chat,Low,23.4,TRUE,2
TCK500136,CUST106820,2021-02-26,Billing,Email,Urgent,1.2,TRUE,3
TCK500137,CUST104425,2025-01-15,General,Email,Medium,6.5,TRUE,4
TCK500138,CUST105777,2022-07-08,Login/Access,Phone,Low,8.8,TRUE,3
TCK500139,CUST102062,2023-08-14,Fraud/Dispute,Twitter/X,Low,5.1,TRUE,3
TCK500140,CUST102900,2021-03-18,Complaint,In-App Chat,High,23,TRUE,3
TCK500141,CUST100914,2024-01-12,General,Email,Low,25.6,TRUE,2
TCK500142,CUST103075,2021-07-27,General,Phone,Medium,2.2,TRUE,4
